2.78182,2.78615,1.82052,1.79503,1.82052,1.79503,
2.97863,2.80655,1.79033,1.7891,1.79033,1.7891,
2.78524,2.70969,1.82872,1.84326,1.82872,1.84326,
2.8631,2.6999,1.79141,1.78334,1.79141,1.78334,
2.76817,2.79197,1.8442,1.81924,1.8442,1.81924,
2.85199,2.72013,1.80079,1.80955,1.80079,1.80955,
2.85514,2.98012,1.7802,1.80322,1.7802,1.80322,
2.80593,2.76014,1.78468,1.79832,1.78468,1.79832,
2.89124,2.89597,1.76652,1.8202,1.76652,1.8202,
2.9031,2.74078,1.79849,1.79442,1.79849,1.79442,
2.87288,2.73023,1.77015,1.8119,1.77015,1.8119,
2.88001,2.82206,1.79523,1.78611,1.79523,1.78611,
2.73377,2.84294,1.84367,1.80155,1.84367,1.80155,
2.77947,2.89413,1.79597,1.86733,1.79597,1.86733,
2.69216,2.76717,1.82306,1.81004,1.82306,1.81004,
2.7951,2.77147,1.8033,1.75778,1.8033,1.75778,
2.73267,2.74433,1.77673,1.84433,1.77673,1.84433,
2.96101,2.79241,1.81122,1.78846,1.81122,1.78846,
2.73925,2.70097,1.75587,1.82328,1.75587,1.82328,
2.74505,2.8534,1.79785,1.90148,1.79785,1.90148,
2.89545,2.70592,1.79635,1.75396,1.79635,1.75396,
2.87653,2.87431,1.82985,1.83111,1.82985,1.83111,
2.7714,2.76487,1.80679,1.7438,1.80679,1.7438,
2.85136,2.72942,1.78453,1.7975,1.78453,1.7975,
2.74626,2.74806,1.81902,1.75814,1.81902,1.75814,
2.82338,2.85732,1.82993,1.81196,1.82993,1.81196,
2.86929,2.90595,1.85702,1.75842,1.85702,1.75842,
2.84364,2.76114,1.80171,1.81542,1.80171,1.81542,
2.82264,2.85697,1.69568,1.77229,1.69568,1.77229,
2.88023,2.76737,1.78344,1.7943,1.78344,1.7943,
2.73529,2.66737,1.81457,1.78257,1.81457,1.78257,
2.8244,2.75583,1.81498,1.80789,1.81498,1.80789,
2.71362,2.72783,1.76472,1.83153,1.76472,1.83153,
2.64388,2.87936,1.82677,1.80701,1.82677,1.80701,
2.78278,2.77016,1.76879,1.80556,1.76879,1.80556,
